time;m_acc_x;m_acc_y;m_acc_z;m_accG_x;m_accG_y;m_accG_z;m_rotTate_alpha;m_rotTate_beta;m_rotTate_gamma;p_lat;p_long;p_alt;p_acc;p_head;p_speed;steps;distance
2203.0;0.5;0.1;-2.2;0.8;1.4;7.5;0.2;38.50000000000001;-53.7;55.61132318;12.9861994;43.59295654296875;10.01809024810791;245.8999938964844;1.1200000047683716;1.0;2.1009174311926624
3204.0;0.4;-0.2;-0.1;1.9;1.4;9.4;-75.3;-15.5;-49.0;55.61131035;12.9861711;45.0732421875;6.466739177703857;246.0;1.1699999570846558;1.0;3.227722772277228
4204.0;-2.1;-3.2;-1.6;4.7;0.3;3.2;37.7;-66.0;73.2;55.61129744;12.98611213;41.9718017578125;5.084428787231445;246.1000061035156;1.2999999523162842;1.0;4.46999999999999
5208.0;1.4;-0.2;2.0;9.9;-4.9;4.9;42.900000000000006;-47.0;-57.1;55.61129505;12.98609462;42.4398193359375;4.759263038635254;260.79998779296875;0.8399999737739563;1.0;5.704081632653085
6220.0;5.800000000000001;0.5;0.9;12.7;-6.0;3.7;18.5;-36.2;83.80000000000001;55.61128707;12.98607438;42.61376953125;4.611783981323242;246.3000030517578;1.3200000524520874;1.0;7.031914893617021
7220.0;-0.7000000000000001;2.0;-1.4;7.0;-3.5;1.5;-114.3;87.00000000000001;-9.7;55.61128645;12.98605963;42.42926025390625;4.169324398040772;247.8000030517578;1.3700000047683716;1.0;8.2818181818182
8203.0;5.2;-0.8;0.7000000000000001;13.6;-4.9;3.3000000000000003;62.7;-79.5;170.50000000000003;55.61128649;12.98604369;41.6546630859375;4.018107891082764;244.8000030517578;1.399999976158142;1.0;9.465909090909104
9220.0;-4.0;-8.0;0.4;5.9;-8.1;2.2;-58.60000000000001;31.3;-33.2;55.61128615;12.98602906;41.3116455078125;3.791534662246704;250.0;1.2599999904632568;1.0;10.819148936170201
10205.0;-1.7000000000000002;-3.6;1.6;8.200000000000001;-5.5;2.8000000000000003;4.4;-29.500000000000004;-117.6;55.61128573;12.98601452;40.93060302734375;3.790092468261719;250.5;1.1699999570846558;1.0;12.051020408163263
11205.0;0.4;-2.9000000000000004;0.6000000000000001;9.2;-7.4;2.8000000000000003;-4.4;-15.3;-134.6;55.61128441;12.98600339;41.4227294921875;3.790092468261719;247.1999969482422;0.9399999976158142;1.0;13.322222222222221
12205.0;9.1;2.5;0.4;16.0;-4.4;2.7;31.0;-57.49999999999999;12.0;55.6112821;12.98598805;41.0657958984375;3.790092468261719;246.8000030517578;1.1799999475479126;10.343999999999962;14.657407407407426
13204.0;1.9;3.2;-2.0;8.700000000000001;-3.7;1.2000000000000002;-15.6;41.7;36.1;55.61128011;12.98596887;41.4420166015625;3.790092468261719;250.8000030517578;1.2300000190734863;12.34453781512605;15.906249999999948
14203.0;5.1000000000000005;1.5;-0.6000000000000001;13.0;-3.7;1.2000000000000002;57.3;-44.7;132.2;55.61127829;12.9859506;41.96856689453125;3.790092468261719;250.6999969482422;1.2899999618530271;14.36799999999996;17.151515151515156
15203.0;-2.6;-6.4;2.1;7.2;-7.2;3.6;-78.2;38.1;37.50000000000001;55.61127656;12.98593346;42.10821533203125;3.790092468261719;254.8000030517578;1.2599999904632568;15.349206349206348;18.41489361702127
16203.0;-3.3000000000000003;-2.9000000000000004;0.8;6.7;-4.9;2.0;9.5;-24.5;-75.3;55.6112766;12.98591986;42.48406982421875;3.790092468261719;250.8999938964844;1.159999966621399;17.34453781512605;19.638888888888907
17221.0;-0.7000000000000001;-0.7000000000000001;1.1;8.5;-4.800000000000001;3.0;34.0;-55.900000000000006;-76.1;55.61127209;12.98590639;42.24267578125;3.790092468261719;242.3000030517578;1.2000000476837158;19.37599999999996;20.836538461538343
18203.0;7.7;2.0;-1.1;14.3;-5.0;1.9;11.7;-27.5;1.4;55.61126664;12.98589147;41.8065185546875;3.790092468261719;243.6999969482422;1.1399999856948853;21.35772357723576;22.11340206185567
