time;m_acc_x;m_acc_y;m_acc_z;m_accG_x;m_accG_y;m_accG_z;m_rotTate_alpha;m_rotTate_beta;m_rotTate_gamma;p_lat;p_long;p_alt;p_acc;p_head;p_speed;steps;distance
2394.0;1.4;-1.5;-0.8;3.1;1.9;7.7;23.800000000000004;29.4;1.9;55.60930847;13.0149066;102.58001708984376;12.39047908782959;98.0;1.309999942779541;1.0;3.2380952380952372
3394.0;0.4;0.0;0.9;2.0;3.9;10.3;-67.5;-48.8;2.3;55.60931951;13.01493688;96.39984130859376;10.133218765258787;97.9000015258789;1.4700000286102295;1.0;4.883116883116891
4395.0;0.3;-0.4;-0.5;2.2;4.2;7.800000000000001;-17.0;-2.7;11.7;55.60932932;13.01502644;87.083251953125;8.18392276763916;86.0;1.600000023841858;1.0;6.565789473684227
5394.0;0.1;0.2;-2.0;0.3;3.2;7.7;28.1;13.000000000000002;24.3;55.60933411;13.01506174;82.8138427734375;7.67156457901001;89.4000015258789;1.409999966621399;1.0;8.24705882352941
6393.0;-0.8;-1.2000000000000002;-1.6;-0.2;2.1;7.7;22.2;-23.3;14.6;55.60934007;13.01509713;80.03125;6.976073265075684;81.0;1.6699999570846558;1.0;9.814285714285711
7393.0;-0.9;-1.2000000000000002;-2.0;-0.2;1.9;7.5;21.1;6.0;26.6;55.60934589;13.01513631;75.64105224609375;6.51572847366333;82.5999984741211;1.690000057220459;1.0;11.557142857142855
8393.0;-0.5;-0.6000000000000001;-2.0;-0.2;2.0;7.800000000000001;10.9;-9.2;25.1;55.60935195;13.01517603;72.43603515625;6.254482269287109;84.19999694824219;1.590000033378601;1.0;13.318181818181827
9393.0;-0.8;-0.1;-0.1;-0.1;2.4000000000000004;8.5;33.50000000000001;2.4000000000000004;48.3;55.60935957;13.01521697;70.03411865234375;6.060976028442383;80.0;1.590000033378601;1.0;15.169230769230769
10394.0;-0.6000000000000001;0.8;4.5;-0.5;2.0;14.6;-43.50000000000001;13.8;-5.9;55.60936696;13.01525343;66.51007080078125;5.771705150604248;80.80000305175781;1.590000033378601;1.0;16.858974358974475
11393.0;0.3;0.9;1.3;0.5;3.0;11.0;-4.9;17.5;10.1;55.60937668;13.01528798;63.4266357421875;5.422904968261719;80.5;1.590000033378601;10.598360655737762;18.554054054054003
12393.0;-0.1;0.6000000000000001;-0.7000000000000001;0.0;2.6;8.5;14.6;15.5;-10.0;55.6093862;13.01532149;61.8206787109375;4.970627307891846;80.4000015258789;1.6799999475479126;12.586776859504115;20.20547945205479
