time;m_acc_x;m_acc_y;m_acc_z;m_accG_x;m_accG_y;m_accG_z;m_rotTate_alpha;m_rotTate_beta;m_rotTate_gamma;p_lat;p_long;p_alt;p_acc;p_head;p_speed;steps;distance
3078.0;-0.8;-0.1;-2.6;3.6;3.6;5.4;17.300000000000004;-11.5;-19.1;55.61388233;12.9853135;82.18896484375;8.555525779724121;159.1999969482422;0.7400000095367432;1.0;4.539473684210542
4078.0;0.1;0.1;-3.6;2.4000000000000004;2.7;5.6000000000000005;20.7;15.2;-7.200000000000001;55.61385858;12.98533732;79.3477783203125;7.67539119720459;176.60000610351562;0.6100000143051147;1.0;6.2317073170731625
5095.0;1.3;0.1;-2.3000000000000003;2.5;2.6;7.300000000000001;-1.7;19.5;-9.3;55.61385065;12.98534001;77.77777099609375;6.212886333465576;150.1999969482422;0.6299999952316284;1.0;7.7375000000000105
6079.0;6.7;-1.4;4.800000000000001;15.8;-3.2;7.300000000000001;-117.4;-5.300000000000001;153.79999999999998;55.61384247;12.98534717;78.435302734375;6.571366786956787;153.10000610351562;0.8899999856948853;1.0;9.328767123287662
7081.0;-2.2;-7.9;0.6000000000000001;7.300000000000001;-8.5;2.6;-68.0;16.3;44.4;55.61383959;12.98534893;81.800048828125;6.097423076629639;158.5;1.350000023841858;1.0;11.040540540540542
8078.0;-1.9;-6.9;1.2000000000000002;7.800000000000001;-7.800000000000001;3.3000000000000003;-21.7;-9.7;-44.8;55.61382934;12.98535078;78.4415283203125;4.504816055297852;156.5;1.4500000476837158;1.0;12.637499999999964
9078.0;-3.7;-3.0;-0.2;6.0;-4.6000000000000005;2.1;18.700000000000003;-15.5;-84.69999999999999;55.61381433;12.98535909;77.6259765625;4.117140769958496;150.39999389648438;1.6699999570846558;1.0;14.312499999999982
10078.0;-1.9;-0.5;-1.3;7.5;-3.5;1.3;90.2;-47.5;-97.0;55.61380241;12.98536425;76.7677001953125;3.920293092727661;152.89999389648438;1.6399999856948853;1.0;15.930555555555582
11094.0;-1.2000000000000002;0.1;-0.1;8.0;-3.7;2.6;102.6;-51.50000000000001;-92.6;55.61378447;12.98538167;74.52880859375;3.908744096755981;152.60000610351562;1.5;10.67741935483869;17.635135135135076
12078.0;3.4000000000000004;1.6;2.6;11.6;-3.9;4.9;54.2;-57.1;-37.2;55.61376441;12.98541463;73.48297119140625;3.84555983543396;164.39999389648438;1.5700000524520874;12.6640625;19.118421052631582
13078.0;5.6000000000000005;3.0;1.1;13.8;-2.3000000000000003;3.8;23.5;-5.7;6.699999999999999;55.61374381;12.98544921;73.22235107421875;3.790092468261719;161.10000610351562;1.5800000429153442;14.663865546218485;20.658823529411762
14078.0;3.2;-0.5;2.1;11.5;-5.300000000000001;4.6000000000000005;-30.4;17.5;39.0;55.61372504;12.98548659;72.4586181640625;3.790092468261719;151.8000030517578;1.5800000429153442;16.671999999999926;22.250000000000014
15079.0;-0.1;2.3000000000000003;-0.6000000000000001;8.4;-2.4000000000000004;1.8;-27.700000000000003;19.4;13.8;55.61370911;12.98552884;71.39727783203125;3.790092468261719;152.89999389648438;1.5499999523162842;18.650793650793794;23.912499999999948
16078.0;-2.3000000000000003;2.8000000000000003;-1.2000000000000002;6.5;-1.3;1.3;-17.400000000000002;18.200000000000003;12.4;55.61369636;12.98557358;70.915771484375;3.812622547149658;162.6999969482422;1.5399999618530271;20.672268907563023;25.493670886075883
