time;m_acc_x;m_acc_y;m_acc_z;m_accG_x;m_accG_y;m_accG_z;m_rotTate_alpha;m_rotTate_beta;m_rotTate_gamma;p_lat;p_long;p_alt;p_acc;p_head;p_speed;steps;distance
1169.0;-0.4;-1.5;-0.4;0.0;1.7000000000000002;8.6;10.9;-2.5;2.6;55.60716027;12.98236593;51.265625;9.608458518981934;261.6000061035156;1.559999942779541;1.0;1.471264367816096
1586.0;1.1;-0.3;2.0;1.3;2.6;12.3;-36.5;-6.500000000000001;-10.0;55.6071741;12.98236028;51.2845458984375;6.796458721160889;252.8000030517578;1.3799999952316284;1.0;2.1184210526315783
2585.0;1.9;-3.5;1.3;10.0;0.0;4.5;33.2;-83.4;102.3;55.6071803;12.98233422;49.88720703125;5.559077262878418;262.20001220703125;1.409999966621399;1.0;3.6547619047619024
3585.0;-2.8000000000000003;-4.5;0.5;7.0;-3.8;3.2;64.80000000000001;-29.4;-82.9;55.60719467;12.98234106;45.22552490234375;4.291571617126465;267.5;1.2000000476837158;1.0;5.16883116883117
4585.0;-1.6;-2.4000000000000004;0.7000000000000001;8.200000000000001;-4.2;3.5;79.39999999999999;-19.0;-135.0;55.60719394;12.98229676;46.71527099609375;4.022805690765381;244.1999969482422;1.559999942779541;1.0;6.708860759493675
5585.0;0.3;0.3;1.1;9.0;-3.3000000000000003;3.7;70.6;-32.400000000000006;-87.2;55.60720301;12.98227359;44.51971435546875;3.886436462402344;254.0;1.340000033378601;1.0;8.217948717948717
6591.0;3.3000000000000003;1.4;-0.9;11.2;-3.9;2.3000000000000003;42.400000000000006;-0.3;-97.40000000000002;55.60720257;12.98225787;45.4447021484375;3.790092468261719;256.5;1.3200000524520874;1.0;9.743902439024364
7591.0;7.1000000000000005;3.7;2.2;14.9;-1.9;4.6000000000000005;58.8;-3.3000000000000007;26.8;55.60720176;12.98223578;45.33148193359375;3.790092468261719;252.6000061035156;1.5199999809265137;1.0;11.32051282051282
8585.0;5.1000000000000005;2.9000000000000004;2.0;12.4;-3.0;4.0;-43.4;17.9;52.3;55.60719886;12.98221193;46.119873046875;3.790092468261719;251.8000030517578;1.5499999523162842;1.0;12.907894736842131
9585.0;2.1;3.8;0.4;10.4;-1.8;2.4000000000000004;-26.40000000000001;12.0;96.7;55.607197;12.9821839;46.3929443359375;3.790092468261719;255.6999969482422;1.870000004768372;1.0;14.59722222222224
