time;m_acc_x;m_acc_y;m_acc_z;m_accG_x;m_accG_y;m_accG_z;m_rotTate_alpha;m_rotTate_beta;m_rotTate_gamma;p_lat;p_long;p_alt;p_acc;p_head;p_speed;steps;distance
4035.0;0.4;-0.1;0.3;0.5;2.3000000000000003;9.6;-1.8000000000000005;-7.6;-0.3;55.60814707;12.99397402;176.76318359375;23.709630966186523;178.8000030517578;0.5799999833106995;1.0;2.209580838323351
5025.0;0.3;-0.3;0.5;0.6000000000000001;2.7;10.4;17.5;-29.1;44.10000000000001;55.60816178;12.99407858;168.75091552734375;21.590585708618164;162.3000030517578;0.3100000023841858;1.0;2.892215568862266
6036.0;-0.1;0.5;0.1;0.6000000000000001;2.2;10.1;3.4;57.3;5.1000000000000005;55.60819302;12.99419466;162.775146484375;20.30126571655273;167.3000030517578;0.3300000131130218;1.0;3.768115942028989
7021.0;0.3;-0.6000000000000001;3.6;1.0;2.5;13.0;-17.6;-18.200000000000003;-14.1;55.60821552;12.99428731;154.9932861328125;21.75669860839844;208.5;1.4900000095367432;1.0;4.621428571428569
8021.0;-0.3;-1.2000000000000002;-1.6;8.4;0.8;1.8;-11.4;-2.7;71.10000000000001;55.60824247;12.99434614;153.015625;21.84303474426269;169.1999969482422;0.6200000047683716;1.0;5.51515151515153
12053.0;0.1;-2.8000000000000003;1.5;9.5;-4.0;4.1000000000000005;-51.8;1.7;58.7;55.60826629;12.99446952;145.36846923828125;15.287354469299316;164.39999389648438;0.699999988079071;1.0;9.145038167938921
13035.0;-2.4000000000000004;-2.9000000000000004;0.7000000000000001;7.2;-3.4000000000000004;3.8;4.800000000000001;-3.2;-44.3;55.60826676;12.99449523;140.9134521484375;14.623088836669922;153.5;0.4300000071525574;1.0;10.055045871559631
14026.0;2.2;3.2;2.4000000000000004;11.2;0.0;5.6000000000000005;25.8;-14.900000000000002;43.2;55.60827201;12.99452658;137.5177001953125;12.862343788146973;107.4000015258789;0.4799999892711639;1.0;11.127999999999986
15018.0;-0.6000000000000001;1.6;-1.1;8.5;-1.3;1.8;-17.400000000000002;16.5;-13.4;55.60827692;12.99456158;134.62554931640625;12.021787643432615;130.10000610351562;0.7599999904632568;1.0;12.096774193548384
16034.0;3.2;1.6;0.0;12.7;-0.9;2.6;37.7;-20.5;65.7;55.60827631;12.99459619;133.0062255859375;11.263599395751951;146.1999969482422;1.5499999523162842;10.719008264462788;13.180180180180187
17020.0;-1.3;-4.0;0.3;8.6;-4.1000000000000005;3.1;-0.3;-9.4;-14.400000000000002;55.6082764;12.99462315;131.24786376953125;10.777474403381348;137.5;0.9900000095367432;12.666666666666643;14.230088495575227
18035.0;-1.6;-1.0;0.0;8.1;-1.9;3.0;49.6;-11.8;-38.400000000000006;55.60827943;12.99464908;129.2734375;10.06546115875244;123.0;0.9300000071525574;14.69298245614037;15.27868852459019
19036.0;1.6;0.5;0.7000000000000001;10.9;-1.9;3.7;88.7;-34.0;-16.1;55.6082865;12.99466742;127.9896240234375;9.998356819152832;119.4000015258789;0.7900000214576721;15.701612903225787;16.280991735537242
20018.0;-0.1;0.0;-0.1;8.9;-2.2;2.9000000000000004;-6.600000000000001;6.2;15.6;55.60829617;12.99468784;127.4556884765625;9.89299774169922;93.4000015258789;0.8899999856948853;17.66942148760343;17.244274809160288
21035.0;-0.3;1.0;-0.8;9.1;-1.0;2.0;-80.30000000000001;37.50000000000001;-17.9;55.60830625;12.99470761;126.1431884765625;10.001325607299805;93.5;0.8899999856948853;18.708333333333293;18.19548872180453
22035.0;-0.3;-3.4000000000000004;-0.2;9.0;-3.6;2.8000000000000003;-65.6;-11.1;36.7;55.60831583;12.99472965;125.45611572265624;10.066414833068848;95.3000030517578;1.0800000429153442;20.708333333333293;19.104477611940275
23034.0;0.5;0.8;-0.9;10.1;-1.2000000000000002;1.6;75.8;-43.2;-24.4;55.60832391;12.99474537;125.61688232421876;10.066957473754885;103.0;0.7900000214576721;22.693548387096754;20.01550387596899
24018.0;3.8;0.4;0.9;12.5;-2.8000000000000003;3.8;-5.8;-24.6;39.3;55.60833578;12.99476245;126.094970703125;10.104049682617188;93.3000030517578;0.8399999737739563;24.67768595041335;20.953488372092806
25035.0;-1.4;1.8;-0.2;7.7;-1.2000000000000002;2.6;-24.7;25.5;-1.7;55.60834856;12.99478201;125.9251708984375;9.704042434692385;85.5;0.9900000095367432;25.7049180327868;21.983471074380347
26034.0;-0.6000000000000001;-2.8000000000000003;-0.2;9.0;-3.5;2.6;-74.80000000000001;6.1000000000000005;82.9;55.608361;12.99480348;125.78680419921876;9.165837287902832;87.5999984741211;1.1100000143051147;27.695999999999923;23.08264462809919
27034.0;-2.5;-3.8;0.1;7.5;-3.2;2.5;-28.0;19.6;-85.9;55.60837133;12.99482065;125.259765625;9.295626640319824;98.3000030517578;0.9800000190734864;28.679999999999925;24.099173553719027
28036.0;0.3;0.7000000000000001;-0.2;9.6;-2.3000000000000003;2.0;75.5;-31.8;-24.7;55.6083783;12.99482613;124.39703369140624;10.06621551513672;101.8000030517578;0.6000000238418579;30.694915254237323;25.113821138211378
29034.0;-1.0;1.1;-0.4;8.1;-1.6;2.1;-35.0;23.800000000000004;2.2;55.60839936;12.99484859;123.85675048828124;8.731428146362305;85.9000015258789;0.8199999928474426;31.695999999999923;26.099290780141843
30018.0;3.6;3.4000000000000004;1.2000000000000002;12.9;0.4;3.1;-13.5;-23.700000000000003;87.7;55.60842369;12.99487588;122.79229736328124;8.043149948120117;82.30000305175781;0.8199999928474426;33.661290322580626;26.957446808510625
31027.0;-3.2;-4.0;0.7000000000000001;6.5;-3.6;2.9000000000000004;-33.300000000000004;28.500000000000004;-82.39999999999999;55.60844293;12.99490338;123.39154052734376;6.856936454772949;82.5999984741211;0.8700000047683716;34.677966101694665;27.85925925925912
32036.0;1.0;-0.3;1.0;10.5;-3.2;3.4000000000000004;127.9;-47.3;-7.500000000000001;55.60847405;12.99493794;123.0191650390625;6.314760208129883;70.9000015258789;0.8299999833106995;36.683333333333294;28.671052631578966
33020.0;-1.2000000000000002;0.9;-0.5;8.1;-2.0;1.9;-51.3;36.400000000000006;-7.500000000000001;55.60849091;12.99496028;121.9588623046875;5.649593830108643;91.0;0.800000011920929;38.67768595041335;29.51824817518238
34034.0;1.2000000000000002;1.6;1.5;10.4;-1.2000000000000002;3.7;-3.3000000000000007;-8.3;94.4;55.60850098;12.99497696;120.8187255859375;5.20332670211792;87.5;0.7799999713897705;39.702479338843105;30.522522522522543
