time;m_acc_x;m_acc_y;m_acc_z;m_accG_x;m_accG_y;m_accG_z;m_rotTate_alpha;m_rotTate_beta;m_rotTate_gamma;p_lat;p_long;p_alt;p_acc;p_head;p_speed;steps;distance
3171.0;-0.4;-1.2000000000000002;-1.0;-0.4;1.7000000000000002;8.4;-1.8000000000000005;-4.800000000000001;12.6;55.61115506;12.98063399;38.44140625;9.157219886779783;73.30000305175781;0.8899999856948853;1.0;2.544715447154482
4171.0;0.6000000000000001;1.4;0.5;4.0;5.2;8.8;95.9;-25.200000000000003;53.10000000000001;55.6111627;12.9806465;42.52984619140625;7.401702404022217;72.69999694824219;0.8999999761581421;1.0;3.5652173913043446
6171.0;2.7;0.2;1.2000000000000002;12.3;-2.0;2.5;-19.5;23.3;58.60000000000001;55.61117026;12.98069826;46.4998779296875;9.548287391662598;89.0999984741211;1.7599999904632568;1.0;5.706349206349204
7188.0;-3.9;-3.9;0.8;5.800000000000001;-4.1000000000000005;2.8000000000000003;-49.2;28.500000000000004;-109.5;55.61117275;12.98072101;46.954833984375;7.942899703979492;60.09999847412109;1.1200000047683716;1.0;6.7456140350877405
8171.0;1.7000000000000002;-0.8;1.2000000000000002;10.3;-5.4;3.5;70.10000000000001;-47.400000000000006;-66.2;55.61117478;12.98072269;43.39361572265625;7.245363712310791;60.09999847412109;0.7300000190734863;1.0;7.72222222222222
9171.0;2.6;0.8;-0.5;11.1;-3.7;2.1;8.8;-13.000000000000002;-2.5;55.61118244;12.98073079;42.294189453125;6.829544544219971;34.900001525878906;1.100000023841858;1.0;8.831683168316758
10174.0;-2.3000000000000003;2.8000000000000003;-1.5;6.300000000000001;-1.6;1.2000000000000002;-4.5;11.8;14.800000000000002;55.61119396;12.98072914;41.5279541015625;5.952582359313965;5.5;1.409999966621399;1.0;10.237113402061855
11173.0;2.2;-2.5;-1.1;11.2;-4.6000000000000005;1.2000000000000002;20.3;-24.5;96.6;55.61120946;12.98072169;40.74322509765625;5.237569332122803;356.6000061035156;1.649999976158142;1.0;11.52222222222222
12187.0;-0.8;-6.800000000000001;2.3000000000000003;9.0;-8.0;3.6;-47.900000000000006;25.1;13.7;55.611226;12.98071485;40.96258544921875;5.20321798324585;351.79998779296875;1.5800000429153442;10.091666666666661;12.928571428571379
13171.0;-3.3000000000000003;-2.4000000000000004;0.3;6.300000000000001;-4.7;2.3000000000000003;15.3;-24.3;-80.2;55.61124019;12.98070735;42.53607177734375;5.132617950439453;344.3999938964844;1.4800000190734863;11.103999999999989;14.197802197802197
14171.0;1.9;1.8;0.8;10.4;-3.6;3.7;74.80000000000001;-60.5;-60.900000000000006;55.61125287;12.98070127;43.0560302734375;4.963261604309082;342.20001220703125;1.4600000381469729;13.087301587301587;15.6071428571429
15174.0;8.200000000000001;3.0;-0.3;15.7;-3.2;2.5;18.4;-22.6;-70.10000000000001;55.61126654;12.98070078;43.91644287109375;4.765270709991455;346.6000061035156;1.4500000476837158;15.073170731707314;17.197368421052637
16172.0;6.7;1.8;1.6;13.9;-4.9;3.8;-5.1000000000000005;-8.5;63.500000000000014;55.61128087;12.98070366;43.74664306640625;4.804620265960693;350.8999938964844;1.4700000286102295;17.07377049180327;18.73255813953494
17172.0;1.3;3.2;1.5;8.700000000000001;-3.1;3.6;-55.3;39.400000000000006;42.3;55.61129508;12.98070481;43.28753662109375;4.405401706695557;349.1000061035156;1.4700000286102295;18.09016393442622;20.263736263736263
18171.0;2.7;3.9;0.0;11.3;-1.5;2.1;-17.200000000000003;41.6;102.9;55.6113084;12.98070463;43.14990234375;4.372710704803467;350.79998779296875;1.5199999809265137;20.087301587301607;21.708860759493575
19171.0;2.4000000000000004;-4.0;0.3;12.6;-5.9;3.0;-64.30000000000001;25.7;112.20000000000002;55.61132201;12.98070517;42.66802978515625;4.114603042602539;352.79998779296875;1.5199999809265137;22.07563025210084;23.244186046511647
20171.0;-3.8;-7.2;1.9;6.300000000000001;-7.1000000000000005;3.4000000000000004;-66.7;19.700000000000003;-19.5;55.61133667;12.98070778;43.06842041015625;4.062601566314697;359.1000061035156;1.5;23.103174603174626;24.753246753246657
21170.0;-4.6000000000000005;-4.0;-0.6000000000000001;5.5;-5.0;1.1;-14.6;-16.200000000000003;-99.2;55.61135;12.98071338;43.93231201171875;3.9426674842834473;0.8999999761581421;1.4700000286102295;25.08799999999999;26.231707317073162
22170.0;-2.6;-2.3000000000000003;0.0;7.2;-5.0;1.7000000000000002;65.5;-71.0;-93.9;55.61136157;12.98071259;43.57080078125;3.831535816192627;345.8999938964844;1.4900000095367432;27.07563025210084;27.743902439024364
23170.0;2.1;-0.9;-0.1;10.0;-6.4;2.5;54.9;-26.40000000000001;-90.6;55.61137177;12.98071639;44.20086669921875;3.790092468261719;3.0999999046325684;1.3600000143051147;29.111111111111136;29.112244897959197
24170.0;6.9;0.7000000000000001;0.7000000000000001;14.2;-6.0;3.0;-18.9;-3.9;68.1;55.61137982;12.98071971;43.350341796875;3.790092468261719;355.8999938964844;1.2799999713897705;31.088709677419352;30.36274509803928
25170.0;-0.9;2.3000000000000003;-1.2000000000000002;7.1000000000000005;-3.2;1.1;-1.0;37.8;18.0;55.61138954;12.98071694;43.1724853515625;3.790092468261719;343.20001220703125;1.3899999856948853;32.07563025210087;31.581632653061295
26170.0;1.2000000000000002;-0.6000000000000001;1.0;10.0;-4.5;2.8000000000000003;6.1000000000000005;4.9;90.1;55.61139842;12.98070975;43.03753662109375;3.790092468261719;337.20001220703125;1.3899999856948853;34.104000000000035;32.798076923077105
27172.0;-4.3;-2.7;1.3;5.6000000000000005;-5.0;2.5;-15.000000000000002;4.6;-51.8;55.6114068;12.98070115;42.689697265625;3.790092468261719;329.5;1.3300000429153442;36.096774193548384;34.03124999999999
28170.0;0.9;-0.2;1.0;9.5;-5.2;2.9000000000000004;-7.200000000000001;-25.8;-76.80000000000001;55.61141444;12.98068885;42.6585693359375;3.790092468261719;317.0;1.350000023841858;37.09090909090911;35.28571428571439
29170.0;5.9;0.3;-0.9;13.6;-6.1000000000000005;1.6;8.4;-38.3;43.70000000000001;55.61142298;12.9806766;42.559814453125;3.790092468261719;319.3999938964844;1.2799999713897705;39.104000000000035;36.480392156862656
30170.0;-2.3000000000000003;1.8;-1.2000000000000002;6.1000000000000005;-3.3000000000000003;0.9;-50.900000000000006;52.3;-11.900000000000002;55.61143108;12.98067115;41.75408935546875;3.790092468261719;336.29998779296875;1.309999942779541;41.09016393442626;37.78888888888901
31177.0;0.8;0.4;0.8;9.7;-3.8;2.6;45.7;-9.3;94.7;55.61144056;12.98066999;41.61614990234375;3.790092468261719;350.79998779296875;1.2200000286102295;43.095238095238074;39.01
32170.0;-2.8000000000000003;-1.5;1.4;6.9;-4.9;2.7;-9.9;-3.8;-49.4;55.61144876;12.98066868;42.07037353515625;3.790092468261719;348.5;1.1200000047683716;44.07563025210087;40.2376237623763
33171.0;-0.1;1.0;0.4;8.4;-4.1000000000000005;2.2;56.400000000000006;-49.7;-38.3;55.61145456;12.98066426;41.73907470703125;3.790092468261719;338.1000061035156;1.1399999856948853;45.104838709677416;41.46464646464648
34170.0;5.1000000000000005;1.5;-1.0;13.0;-4.6000000000000005;1.2000000000000002;17.1;-18.4;35.8;55.61146372;12.98065963;41.259765625;3.790092468261719;346.1000061035156;1.190000057220459;47.08800000000003;42.69306930693088
35171.0;-2.2;1.6;-1.7000000000000002;6.2;-3.7;0.7000000000000001;-34.400000000000006;38.60000000000001;-17.799999999999997;55.61147137;12.98065817;41.18658447265625;3.790092468261719;352.70001220703125;1.090000033378601;49.074999999999996;43.911764705882185
36171.0;2.2;-0.4;-0.3;11.5;-4.800000000000001;1.1;26.5;-20.7;94.7;55.61148111;12.9806485;40.931640625;3.790092468261719;335.3999938964844;1.25;50.104000000000035;45.23076923076928
37170.0;-3.8;-3.9;1.1;6.0;-6.2;2.2;-10.5;-1.9;-59.00000000000001;55.6114914;12.98064228;40.63360595703125;3.790092468261719;341.6000061035156;1.1299999952316284;52.08800000000003;46.44444444444446
38170.0;0.3;-0.3;1.0;9.2;-4.800000000000001;2.8000000000000003;47.900000000000006;-52.60000000000001;-74.80000000000001;55.61149998;12.980639;40.8310546875;3.790092468261719;336.20001220703125;1.100000023841858;53.07563025210087;47.686868686868706
39170.0;4.800000000000001;-0.2;1.6;12.0;-7.1000000000000005;3.4000000000000004;8.700000000000001;-18.700000000000003;41.3;55.61150976;12.98063726;41.298583984375;3.790092468261719;338.0;1.0099999904632568;55.10317460317458;48.911764705882185
40170.0;-1.2000000000000002;1.2000000000000002;-0.6000000000000001;7.300000000000001;-3.9;1.5;-43.2;24.3;13.3;55.61152254;12.98063545;41.02374267578125;3.790092468261719;340.29998779296875;1.25;57.08870967741935;50.16239316239323
41170.0;-0.5;-3.5;0.7000000000000001;9.2;-5.800000000000001;2.9000000000000004;-48.0;3.4;120.3;55.6115334;12.98063443;40.72320556640625;3.790092468261719;338.3999938964844;1.159999966621399;59.07563025210087;51.223214285714235
42170.0;-1.4;-2.3000000000000003;0.7000000000000001;8.200000000000001;-5.5;1.7000000000000002;-36.2;12.9;-87.60000000000001;55.6115426;12.98063419;40.3739013671875;3.790092468261719;348.5;1.1200000047683716;60.104838709677416;52.327272727272685
43169.0;5.1000000000000005;3.7;2.1;13.9;-2.3000000000000003;3.8;33.800000000000004;5.9;-50.5;55.61155116;12.98063436;40.541748046875;3.790092468261719;352.79998779296875;0.949999988079071;61.08800000000003;53.39344262295094
44169.0;-0.1;1.3;-0.9;8.3;-4.0;1.2000000000000002;-11.3;3.2;16.0;55.61155948;12.98063593;40.99371337890625;3.790092468261719;2.0;1.0399999618530271;63.074999999999996;54.393700787401485
45171.0;3.8;1.6;-1.6;12.4;-3.5;-0.1;91.7;-46.7;80.50000000000001;55.61156801;12.98063303;40.37884521484375;3.790092468261719;346.70001220703125;1.149999976158142;65.07500000000006;55.427184466019554
